id,type,title,creator,year,lent_to
865ee31d-1c0d-419e-a0ed-5b031f198f9a,2,Unbranded Cotton Computer,Shirley Crooks,1967,d8907251-895a-44d7-abc2-c1a713c1e214
fdaafc5b-43d6-49d2-9a6e-56ac79128b90,0,Tasty Rubber Sausages,Violet McDermott,1910,00000000-0000-0000-0000-000000000000
096200d9-4eb5-4f78-bdf2-fb19c0e4fce1,0,Licensed Soft Ball,Marie Reichel DDS,1926,00000000-0000-0000-0000-000000000000
bafbc5ce-39ec-40da-8a67-e75ea11cc3a4,2,Recycled Soft Cheese,Bernice Hettinger,1970,00000000-0000-0000-0000-000000000000
be0f682f-8999-4034-a439-255664ec330b,0,Handcrafted Plastic Fish,Dr. Christian Witting,1914,00000000-0000-0000-0000-000000000000
9ca7450c-2288-494c-9eae-d50d1acfc268,0,Recycled Granite Towels,Sheri Torphy,1983,00000000-0000-0000-0000-000000000000
dfbe5e6e-b62e-40c2-b8b3-87f7b9b2739c,1,Licensed Plastic Computer,Constance Runolfsson,1977,00000000-0000-0000-0000-000000000000
d64a8729-3076-4a8d-9e65-9af5aff2b350,1,Ergonomic Frozen Chicken,Ken Daniel,1971,00000000-0000-0000-0000-000000000000
0912592c-63b9-4f7b-ba19-0d29efec7306,2,Gorgeous Plastic Soap,Archie Ruecker,1983,00000000-0000-0000-0000-000000000000
c54e5454-18a2-4bbd-9437-2c03b642c3e8,2,Gorgeous Cotton Bike,Felicia Von,1983,00000000-0000-0000-0000-000000000000
019e9ea4-b2f3-4e2d-abf1-033555f66996,0,Bespoke Wooden Gloves,Oliver Daugherty,1991,00000000-0000-0000-0000-000000000000
bc115a4f-7833-48f7-b1e7-e32955fd596d,0,Small Wooden Bike,Richard Wilderman IV,1976,00000000-0000-0000-0000-000000000000
85c85ff0-5162-485f-a4fa-64b33cc8bee0,1,Electronic Concrete Computer,Elena Monahan,1960,00000000-0000-0000-0000-000000000000
8378176e-42de-4979-b2d2-6ff1c4fb0c59,1,Elegant Bronze Gloves,Mr. Jerald Hammes,1971,577e8dc7-e5e2-45af-b67a-a71b3b48c243
2c296d3c-321f-436e-98ee-5025f59808a5,2,Bespoke Plastic Mouse,Ms. Carmen Kshlerin,1956,8d1ba544-54d1-4e86-833f-68decdda6f67
c4354873-ed12-427e-9b00-6fb59e1d2780,0,Elegant Steel Chair,Lorene Kub,1989,00000000-0000-0000-0000-000000000000
9360d87b-8d09-4637-8ab5-594837503459,1,Fantastic Bronze Keyboard,Flora Brekke,1969,00000000-0000-0000-0000-000000000000
74ad8e30-a832-4f0b-99c4-80549b77c341,1,Generic Fresh Towels,Michael Predovic,1968,6552e7da-9a44-4d57-ae7a-e6f3aefdd882
f755ab39-5110-426a-82de-301e64171084,1,Tasty Rubber Computer,Mr. Corey Emard,1981,8459f2cb-64ca-4a12-8722-f59dab6fbc9c
b44d8a07-1699-4f2c-b79e-da4ce791b1b4,1,Elegant Plastic Hat,Jon Konopelski,1995,5a0794d9-522d-4615-a341-795bba4093a0
